Field_Name,Table_Name,Data_Type,Required,Optional,Complementary,Suggested_Format,Format_Notes,Quality_Level_[YOU_FILL_IN],Current_Format_[YOU_FILL_IN],Action_Needed_[YOU_FILL_IN],Notes_[YOU_FILL_IN]
client_id,CLIENT,VARCHAR(20),YES,NO,NO,"Client unique code (e.g., CLIENT-001, or business unit name)","Alphanumeric, 3-20 chars, no spaces. Examples: BOOT-PROD-A, SOCK-FACILITY-B, APPAREL-LINE-1. Must be UNIQUE across all clients.",,,,
client_name,CLIENT,VARCHAR(100),YES,NO,NO,Full client/business unit name,"Text, 1-100 chars. Examples: 'Western Boot Production Line A', 'Sock Manufacturing Unit 2'",,,,
client_contact,CLIENT,VARCHAR(100),NO,YES,NO,Client's contact person for communication,"Text, 1-100 chars. Examples: 'John Doe', 'Jane Doe'",,,,
client_email,CLIENT,VARCHAR(100),NO,YES,NO,Client's primary email contact information,Email address format,,,,
client_phone,CLIENT,VARCHAR(20),NO,YES,NO,Client's primary phone information,Phone format,,,,
location,CLIENT,VARCHAR(100),NO,YES,NO,Physical location of client/line,"Text. Examples: 'Building A - Line 1', 'Matamoros Facility'",,,,
supervisor_id,CLIENT,VARCHAR(20),NO,YES,YES,Primary supervisor ID for this client,Foreign key to EMPLOYEE table. Used for escalations and hold approvals.,,,,
planner_id,CLIENT,VARCHAR(20),NO,YES,YES,Primary planner or customer service ID for this client,Foreign key to EMPLOYEE table. Used for escalations and hold approvals.,,,,
engineering_id,CLIENT,VARCHAR(20),NO,YES,YES,Primary engineer ID for this client,Foreign key to EMPLOYEE table. Used for escalations and hold approvals.,,,,
client_type,CLIENT,ENUM,NO,YES,YES,Typically to identify management tracking - Piece Rate / Hourly Rate / Hybrid / Service,"Allowed values: Hourly Rate, Piece Rate, Hybrid, Service, Other",,,,
timezone,CLIENT,VARCHAR(10),NO,YES,NO,"Timezone for this client (for report scheduling, timestamps)","Format: 'America/Mexico_City', 'America/Chicago', etc. (IANA timezone)",,,,
is_active,CLIENT,BOOLEAN,YES,NO,NO,Is this client currently in operation?,TRUE or FALSE. Default: TRUE. Set to FALSE to deactivate without deleting.,,,,
created_at,CLIENT,TIMESTAMP,NO,NO,YES,When this client record was created,"ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated, not user entry.",,,,
updated_at,CLIENT,TIMESTAMP,NO,NO,YES,Last update to client record,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
work_order_id,WORK_ORDER,VARCHAR(50),YES,NO,NO,Unique identifier for the work order,"Format: YYYY-MM-DD-MODEL-PARTNUM OR manual ID. Must enforce UNIQUENESS. If duplicate received, append suffix (-01, -02, etc.). Examples: 2025-12-02-BOOT-ABC123, 2025-12-02-BOOT-ABC123-01, WO-20251202-001",,,,
client_id_fk,WORK_ORDER,VARCHAR(20),YES,NO,NO,Foreign key to CLIENT table,Must reference existing client_id. Ensures data isolation per client.,,,,
style_model,WORK_ORDER,VARCHAR(100),NO,YES,NO,Style/Model designation,"Text, standardized naming per client. Examples: 'ROPER-BOOT', 'CREW-SOCK', 'TEE-SHIRT-V1'. Should match client's naming convention.",,,,
planned_quantity,WORK_ORDER,INT,YES,NO,NO,Total quantity ordered for entire work order,"Positive integer, > 0. Cannot be zero. Example: 1000 (units), Default = 1",,,,
planned_start_date,WORK_ORDER,DATE,OPTIONAL,NO,YES,Planned start date from production schedule,"ISO 8601: YYYY-MM-DD. If missing, use first job's actual start date. If all missing, system infers from order date + lead time.",,,,
actual_start_date,WORK_ORDER,DATE,OPTIONAL,NO,YES,Actual date production started,ISO 8601: YYYY-MM-DD. Captured from first production entry. May differ from planned.,,,,
planned_ship_date,WORK_ORDER,DATE,CONDITIONAL,NO,YES,Promised/contracted ship date to customer,"ISO 8601: YYYY-MM-DD. REQUIRED for On-Time Delivery (KPI #2). If missing, can infer from planned_start_date + ideal_cycle_time.",,,,
required_date,WORK_ORDER,DATE,OPTIONAL,NO,YES,Alternative to planned_ship_date; required date from customer PO,ISO 8601: YYYY-MM-DD. Used if planned_ship_date unavailable. Fallback for OTD calculation.,,,,
ideal_cycle_time,WORK_ORDER,DECIMAL,CONDITIONAL,NO,NO,Standard time allowed per unit (in hours),"Decimal hours. Examples: 0.25 hrs (15 min), 2.5 hrs (2h 30m), 0.083 hrs (5 min). REQUIRED for Efficiency & Performance (KPI #3, #9). If missing, inferred from historical 30-day average by style_model. Engineering maintains master reference.",,,,
