Field_Name,Table_Name,Data_Type,Required,Optional,Complementary,Suggested_Format,Format_Notes,Quality_Level_[YOU_FILL_IN],Current_Format_[YOU_FILL_IN],Action_Needed_[YOU_FILL_IN],Notes_[YOU_FILL_IN]
production_entry_id,PRODUCTION_ENTRY,VARCHAR(50),YES,NO,NO,"System-generated unique ID (UUID or timestamp-based)","Format: UUID or YYYYMMDD-HHMMSS-SEQUENTIAL. Examples: '550e8400-e29b-41d4-a716-446655440000' or '20251202-143045-001'.","","","",""
work_order_id_fk,PRODUCTION_ENTRY,VARCHAR(50),YES,NO,NO,"Foreign key to WORK_ORDER table","Links production entry to specific work order. Multiple entries can exist for same WO across different days/shifts.","","","",""
job_id_fk,PRODUCTION_ENTRY,VARCHAR(50),CONDITIONAL,NO,NO,"Foreign key to JOB table (if tracking by line item)","Used when WO has multiple jobs and you want to track production per job. Optional if aggregating entire WO. See notes for current practice.","","","",""
client_id_fk,PRODUCTION_ENTRY,VARCHAR(20),YES,NO,NO,"Foreign key to CLIENT table","Enforces data isolation. Production entry always belongs to specific client.","","","",""
shift_date,PRODUCTION_ENTRY,DATE,YES,NO,NO,"Date of production entry (the date production occurred)","ISO 8601: YYYY-MM-DD. Examples: 2025-12-02, 2025-12-03. Used for daily aggregation and reporting.","","","",""
shift_type,PRODUCTION_ENTRY,ENUM,YES,NO,NO,"Which shift this entry is for","Allowed values: SHIFT_1ST (7am-5pm), SHIFT_2ND (9pm-6am), SAT_OT (7am-3pm), SUN_OT (7am-3pm), OTHER. Other is for special overtime shifts outside standard hours.","","","",""
operation_id,PRODUCTION_ENTRY,VARCHAR(50),CONDITIONAL,NO,NO,"Operation/stage identifier (for future per-operation tracking)","Text. Examples: 'CUTTING', 'SEWING', 'ASSEMBLY', 'QC', 'PACKING'. Currently optional (track by line level), aspirational for future granularity. When provided, enables per-operation performance tracking.","","","",""
units_produced,PRODUCTION_ENTRY,INT,YES,NO,NO,"Total units produced in this entry","Positive integer, >= 0. Examples: 100, 0 (if no production due to downtime). Used for Efficiency and Performance calculations.","","","",""
units_defective,PRODUCTION_ENTRY,INT,YES,NO,NO,"Units with defects (passed to QC or flagged for rework/repair)","Non-negative integer, <= units_produced. Examples: 0, 5, 20. Used for Quality PPM/DPMO/FPY/RTY calculations (KPI #4, #5, #6).","","","",""
run_time_hours,PRODUCTION_ENTRY,DECIMAL(10,2),YES,NO,NO,"Actual production run time in hours (shift hours minus downtime)","Decimal hours. Examples: 8.5 (9 hour shift with 0.5 hr downtime), 9.0 (full shift with no downtime). Used for Performance calculation (KPI #9) and Efficiency (KPI #3).","","","",""
employees_assigned,PRODUCTION_ENTRY,INT,YES,NO,NO,"Number of employees assigned to this production entry","Positive integer. Examples: 10, 12. Used for Efficiency calculation (KPI #3) to derive 'Hours Available'.","","","",""
employees_present,PRODUCTION_ENTRY,INT,NO,YES,NO,"Number of employees actually present (useful for tracking absenteeism impact on production)","Positive integer, <= employees_assigned. If present < assigned, remainder absent (but may be covered by floating staff). Complements ATTENDANCE_ENTRY data.","","","",""
data_collector_id,PRODUCTION_ENTRY,VARCHAR(20),YES,NO,YES,"User ID of person who entered this data","Foreign key to USER table. Identifies data source and enables audit trail of entries.","","","",""
entry_method,PRODUCTION_ENTRY,ENUM,NO,YES,YES,"How was this data entered?","Allowed values: MANUAL_ENTRY, CSV_UPLOAD, QR_SCAN, API, SYSTEM_IMPORT. Useful for tracking data quality by entry method. Initially: MANUAL_ENTRY, CSV_UPLOAD. Future: QR_SCAN, API.","","","",""
timestamp,PRODUCTION_ENTRY,TIMESTAMP,NO,YES,YES,"Exact time entry was recorded (if capturing hourly data)","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). Optional but encouraged for hourly tracking. Enables time-series analysis and gap detection.","","","",""
verified_by,PRODUCTION_ENTRY,VARCHAR(20),NO,YES,YES,"User ID of supervisor/leader who verified this entry (optional)","Foreign key to USER table. If populated, indicates entry was reviewed and approved. Supports two-person verification if required.","","","",""
