Field_Name,Table_Name,Data_Type,Required,Optional,Complementary,Suggested_Format,Format_Notes,Quality_Level_[YOU_FILL_IN],Current_Format_[YOU_FILL_IN],Action_Needed_[YOU_FILL_IN],Notes_[YOU_FILL_IN]
quality_entry_id,QUALITY_ENTRY,VARCHAR(50),YES,NO,NO,"System-generated unique ID","Format: UUID or YYYYMMDD-QC-SEQUENTIAL. Example: '20251202-QC-001'.","","","",""
work_order_id_fk,QUALITY_ENTRY,VARCHAR(50),YES,NO,NO,"Foreign key to WORK_ORDER table","Identifies which WO this quality entry relates to.","","","",""
job_id_fk,QUALITY_ENTRY,VARCHAR(50),CONDITIONAL,NO,NO,"Foreign key to JOB table (if tracking quality by line item)","Used if WO has multiple jobs and tracking quality per job. Optional if aggregating entire WO.","","","",""
client_id_fk,QUALITY_ENTRY,VARCHAR(20),YES,NO,NO,"Foreign key to CLIENT table","Ensures data isolation.","","","",""
shift_date,QUALITY_ENTRY,DATE,YES,NO,NO,"Date quality check was performed","ISO 8601: YYYY-MM-DD. Example: 2025-12-02.","","","",""
shift_type,QUALITY_ENTRY,ENUM,YES,NO,NO,"Which shift the units were produced","Allowed values: SHIFT_1ST, SHIFT_2ND, SAT_OT, SUN_OT, OTHER.","","","",""
operation_checked,QUALITY_ENTRY,VARCHAR(50),YES,NO,NO,"Operation/stage where quality check occurred","Text. Examples: 'FINAL_INSPECTION', 'INCOMING_MATERIAL', 'IN_PROCESS_QC_SEWING', 'POST_ASSEMBLY'. Identifies where defects were caught.","","","",""
units_inspected,QUALITY_ENTRY,INT,YES,NO,NO,"Total units inspected in this quality check","Positive integer. Examples: 100, 500. Used for PPM/DPMO/FPY/RTY calculations.","","","",""
units_passed,QUALITY_ENTRY,INT,YES,NO,NO,"Units that passed quality (no defects, no rework needed)","Non-negative integer, <= units_inspected. Used for FPY/RTY calculations (KPI #6, #7).","","","",""
units_defective,QUALITY_ENTRY,INT,YES,NO,NO,"Units with defects found during inspection","Non-negative integer, <= units_inspected. Examples: 5, 10. Used for PPM/DPMO calculations (KPI #4, #5).","","","",""
units_requiring_rework,QUALITY_ENTRY,INT,CONDITIONAL,NO,NO,"Units sent to previous operation for rework (not allowed to continue)","Non-negative integer. REQUIRED if tracking rework separately from repair. These units count as FAIL for FPY but may PASS for RTY if completed successfully after rework.","","","",""
units_requiring_repair,QUALITY_ENTRY,INT,CONDITIONAL,NO,NO,"Units repaired in current operation before moving forward","Non-negative integer. REQUIRED if tracking repair separately from rework. These units count as FAIL for FPY but may PASS for RTY if repair successful.","","","",""
